Nombre,Resumen generado por la IA,Destinatarios,URL,País,Fecha de cierre,AI keywords,Publicar,Entidad,Obtener Disciplinas,Obtener Base URL,Base URL,Categoría,Disciplina
"Open Call: ""Photography Now"" by Woman Made Gallery","Convocatoria ""Photography Now"" en",Revisar,https://womanmade.org/call-for-art/,,"March 30, 2025",,No,Woman Made Gallery,,,,Convocatoria,
Symphony in Fiber: Harmony in Color and Texture,"Convocatoria ""Symphony in Fiber: Armonía en Color y Textura"" en EEUU",,https://artleagueri.org/2024/07/07/call-for-entry-symphony-in-fiber/,EEUU,"March 30, 2025",Convocatorias,Yes,Art League RI,,,https://artleagueri.org/2024/07/07/call-for-entry-symphony-in-fiber/,Convocatoria,"Textiles, VIsuales"
AMAZÓNICA: Residencia en Perú,"Residencia ""AMAZÓNICA"" en Perú",,https://app.datarte.art/convocatorias/amazonica-2025,,"March 30, 2025","Residencia en Perú, programa de residencia, residencia artística",No,Datarte,,,https://www.amazonconservation.org/tag/peru/,Residencia,
Winter 2025 Cycle Now Open For Submissions by Inno...,"Convocatoria ""Inno... Disciplina"" en",Revisar,https://innovateartistgrants.org/,,"March 28, 2025",,No,Inno...,,,,Convocatoria,
The 16th Annual “Abstracts” Online Art Competition,"Convocatoria ""Abstracts Art Competition"" en",Revisar,https://lightspacetime.art/16th-abstracts-2025-art-competition/,,"March 28, 2025",,No,Abstracts,,,,Convocatoria,
A Scientific Approach: Visual Documents and Creati...,"Convocatoria ""A Scientific Approach: Visual Documents"" en Italia",,https://www.loosenart.com/pages/calls,Italia,"March 27, 2025","Arte, Convocatorias, Italia",Yes,Loosenart,,,https://www.loosenart.com/pages/calls,Convocatoria,"Video, Diseño, Multimedia"
XVIII Premio de Artes Plásticas La Rural,"Premio ""Artes Plásticas La Rural"" en España",Revisar,https://www.fundacioncrj.es/rural-creativa/2025/01/29/inscripcion-xviii-premio-artes-plasticas-la-rural/,,"March 24, 2025",,No,Fundación CRJ,,,,Premio,
"V Certamen de Nueva Creación Fotográfica ""Expositi...","Convocatoria ""Expositivos 25"" en España",,https://www.leonesphoto.es/ex-s-25-convocatoria,,"March 24, 2025",,No,Expositivos 25,,,'https://www.leonesphoto.es/ex-s-25-convocatoria',Convocatorias,
Impulso Cazadores 2025,"Convocatoria ""Impulso Cazadores"" en Argentina",,https://fundacioncazadores.org.ar/programas/impulso/,Argentina,"March 23, 2025",Convocatorias Escénicas,Yes,Fundación Cazadores,,,https://fundacioncazadores.org.ar/programas/impulso/,Convocatoria,"Multidisciplinar, Escénicas"
"Open Call: ""Solo Show Proposal"" at BAU Gallery","Convocatoria ""Solo Show Proposal"" en",Revisar,https://form.jotform.com/250037483351149,,"March 22, 2025",,No,BAU,,,,Convocatoria,
Pop Up Evolution: Artist book and beyond,"Oportunidad ""Pop Up Evolution"" en",Revisar,https://primopianospecialprojects.com/2024/11/10/pop-up-evolution-artist-book-and-beyond/,,"March 21, 2025",,No,Pop Up Evolution,,,,Convocatoria,
"Call to Artists: ""Mood & Emotion"" A Photography Sh...","Convocatoria ""Mood & Emotion Photography Show"" en el mundo",Revisar,https://www.sacfinearts.org/call-to-artists#!event/2024/12/16/call-to-artists-mood-emotiona-photography-show,,"March 21, 2025",,No,Sac Fine Arts,,,https://www.sacfinearts.org/call-to-artists,Convocatoria,
Open Call April 2025: “Urban Narratives: The City ...,"Convocatoria ""Urban Narratives: The City as Canvas"" en el mundo",Revisar,https://bushwickgallery.com/open-call-april-2025-urban-narratives-the-city-as-canvas/,,"March 21, 2025",,No,Bushwick Gallery,,,https://bushwickgallery.com/open-call-april-2025-urban-narratives-the-city-as-canvas/,Convocatoria,
Mood & Emotion: A Photography Show,"Convocatoria ""Mood & Emotion Photography Show"" en todo el mundo",,https://www.sacfinearts.org/call-to-artists#!event/2024/12/16/call-to-artists-mood-emotiona-photography-show,,"March 21, 2025",,No,Sac Fine Arts,,,'https://www.sacfinearts.org/call-to-artists#!event/2024/12/16/call-to-artists-mood-emotiona-photography-show',Convocatoria,
¡Muestra tu trabajo en NILO!,"Convocatoria ""NILO Artistas"" en Argentina",Revisar,https://app.datarte.art/convocatorias/exposicion-arte-argentina-artistas-nilo-2025,,"March 20, 2025",,No,Datarte,,,,Convocatoria,
"NIAS/NIOD/KITLV: Fellowship ‘Moving objects, Mobilising Culture in the Context of (De)colonisation’ (The Netherlands)","Beca ""Moving objects, Mobilising Culture"" en Países Bajos",Revisar,https://on-the-move.org/news/niasniodkitlv-fellowship-moving-objects-mobilising-culture-context-decolonisation-netherlands,,"March 17, 2025",,No,NIAS/NIOD/KITLV,,,https://nias.knaw.nl/fellowships/nias-niod-kitlv-fellowship-moving-objects-mobilising-culture-in-the-context-of-decolonisation/,Beca,
2025 Art of Possibilities Art Show & Sale,"Convocatoria ""Art of Possibilities Art Show & Sale"" en todo el mundo",,https://courageart.org/submit-entries/,,"March 17, 2025",,No,Courage Art,,,https://artist.callforentry.org/festivals_unique_info.php?ID=14079,Convocatoria,
Open Call For Magazine Feature by Goddessarts Maga...,"Convocatoria ""Goddessarts Magazine Feature"" en",Revisar,https://www.goddessartsmag.com/magazine-features,,"March 16, 2025",,No,Goddessarts,,,,Convocatoria,
Call for Art: 2D Temporary Public Art Installation,"Convocatoria ""Obtener Disciplina"" en Latinoamérica",Revisar,https://www.rochestercontemporary.org/call-for-art-2d-temporary-public-art-installation-fall/,,"March 16, 2025",,No,Rochester Contemporary,,,https://www.rochestercontemporary.org/call-for-art-2d-temporary-public-art-installation-fall/,Convocatoria,
Call for Artists: 2025 ARTErra Rural Artistic Resi...,"Residencia ""ARTErra Rural Artistic"" en Portugal",,https://arterra.weebly.com/apply.html,Portugal,"March 16, 2025","Convocatorias, programa de residencia, residencia de artistas",Yes,ARTErra,,,https://arterra.weebly.com/apply.html,Convocatoria,Visuales
Convocatoria de Artes Visuales Miquel Casablancas ...,,Revisar,https://santandreucontemporani.org/es/activitats/convocatoria-d-arts-visuals-miquel-casablancas-2025,,"March 15, 2025",,No,Sant Andreu Contemporani,,,,Convocatoria,
Pina Bausch Fellowship for Dance and Choreography 2025,"Beca ""Pina Bausch Fellowship Dance and Choreography"" en",Revisar,https://on-the-move.org/news/pina-bausch-fellowship-dance-and-choreography-2025,,"March 15, 2025",,No,On the Move,,,,Beca,
CreArt: Kaunas Artist-in-Residence for Visual Artists 2025 (Lithuania),"Residencia ""CreArt 3.0"" en Lituania",Revisar,https://on-the-move.org/news/creart-kaunas-artist-residence-visual-artists-2025-lithuania,,"March 15, 2025",,No,On The Move,,,https://www.hdlu.hr/eng/creart/,Residencia,
"Residencia (con Beca Parcial) en Buenos Aires ","Residencia ""Residencia Buenos Aires"" en Argentina",Revisar,https://app.datarte.art/convocatorias/residencia-performance-art-argentina-2025,,"March 15, 2025",,No,Datarte,,,https://artres.moc.gov.tw/en/calls/content/ff80818191396c01019328989ea50139,Residencia,
"Photo North Festival: 2025 Entries Now Open ""Hope""","Convocatoria ""Photo North Festival: Hope"" en Reino Unido",,https://www.photonorthfestival.co.uk/student-competitions,,"March 15, 2025",,No,Photo North Festival,,,https://www.photonorthfestival.co.uk/student-competitions,Convocatoria,
"""Figurativas 2025"" 13º Concurso Internacional de P...","Convocatoria ""Figurativas 2025"" en España",,https://www.fundaciondelasartes.org/,España,"March 15, 2025","escultura, premio internacional",Yes,Fundación de las Artes,,,https://www.fundaciondelasartes.org/,Convocatoria,"Pintura, Escultura"
Festival Internacional de Cine de Animación de Annecy tiene abierta su convocatoria 2025,"Convocatoria ""Festival Internacional de Cine de Animación de Annecy"" en Francia",Destacar,https://www.recursosculturales.com/festival-internacional-de-cine-de-animacion-de-annecy/,Francia,"March 15, 2025",Animación,Yes,Festival Internacional de Cine de Animación de Annecy,,,https://www.animation-festivals.com/festivals/annecy-international-animated-film-festival/,Convocatorias,"Cine, Animación"
Premio Arthaus Artes Visuales 2025,"Convocatoria ""Premio Arthaus Artes Visuales"" en no especificado",Revisar,https://arthaus.ar/convocatorias/,,"March 11, 2025",,No,Arthaus,,,https://arthaus.ar/convocatorias/,Premio,
10th Edition Passepartout Photo Prize,"Premio ""Passepartout Photo"" en Italia",,https://www.passepartoutprize.com/about/,Italia,"March 11, 2025","Premio Internacional de Fotografía, Premio de Fotografía, concurso de fotografía",Yes,Passepartout Photo Prize,,,https://www.passepartoutprize.com/about/,Premio,Fotografía
II Premio Ars Sacra de Pintura,"Premio ""Ars Sacra Pintura"" en España",,https://www.nitidogallery.com/premio-ars-sacra.html,España,"March 11, 2025","exposición colectiva, premio de arte, premio internacional",Yes,Ars Sacra,,,https://www.nitidogallery.com/premio-ars-sacra.html,Premio,"Pintura, Visuales"
"Halaqat II Call for Residency Hosts (Jordan, Lebanon, Morocco)","Residencia ""Halaqat II"" en Jordania, Líbano, Marruecos",Revisar,https://on-the-move.org/news/halaqat-ii-call-residency-hosts-jordan-lebanon-morocco,,"March 10, 2025",,No,On The Move,,,,Residencia,
Convocatoria SOMA Summer 2025,,Revisar,https://somamexico.org/soma-summer,,"March 10, 2025",,No,SOMA,,,,Convocatoria,
Convocatoria de Arte “Voces Visuales: El Arte como...,"Convocatoria ""Voces Visuales"" en España",Revisar,https://franquearte.com/vocesvisuales/,,"March 10, 2025",,No,Franquearte,,,,Convocatoria,
Open Call: Residencia Internacional Online con Exp...,"Residencia ""Obtener Disciplina"" en Exp...",Revisar,https://mangoresidencia.wixsite.com/mangoresidencia/rio,,"March 10, 2025",,No,Mango Residencia,,,,Convocatoria,
Artist Residency: Estudio Corazón 2025 at Ghost Ra...,"Residencia ""Estudio Corazón"" en EEUU",,https://www.ghostranch.org/estudio-corazon/,EEUU,"March 10, 2025","oportunidad para artistas, programa de residencia, residencia para artistas",Yes,Ghost Ranch,,,https://www.ghostranch.org/estudio-corazon/,Residencia,Mulitidisciplinar
Participación en la Feria del Fotolibro 5ª Edición,"Convocatoria ""Feria del Fotolibro"" en España",,https://www.arteinformado.com/agenda/f/participacion-en-la-feria-del-fotolibro-5-edicion-233815,España,"March 10, 2025",Feria del Fotolibro,Yes,Feria del Fotolibro,,,https://www.arteinformado.com/agenda/f/participacion-en-la-feria-del-fotolibro-5-edicion-233815,Convocatorias,"Fotografía, edición, diseño"
House of Text: Text Laboratory #2 International Working Residency (Finland),"Residencia ""House of Text: Text Laboratory"" en Finlandia",Revisar,https://on-the-move.org/news/house-text-text-laboratory-2-international-working-residency-finland,,"March 9, 2025",,No,Text Laboratory,,,,Residencia,
Open Call: V Concurso Internacional de Fotografía ...,"Convocatoria ""V Concurso Internacional de Fotografía"" en",Revisar,https://www.lavienisima.com/,,"March 9, 2025",,No,La Vienísima,,,,Convocatoria,
Residencia Internacional Online con Exposición Virtual. Edición II. Tema: Océano,"Residencia ""Exposición Virtual Océano"" en el mundo",,https://www.arteinformado.com/agenda/f/residencia-internacional-online-con-exposicion-virtual-edicion-ii-tema-oceano-235013,,"March 9, 2025",,No,Arteinformado,,,https://www.arteinformado.com/agenda/f/residencia-internacional-online-con-exposicion-virtual-edicion-ii-tema-oceano-235013,Residencias,
Communication Arts: 2025 Photography Competition,"Convocatoria ""Communication Arts: 2025 Photography"" en todo el mundo",,https://www.commarts.com/competition/2025-photography,,"March 9, 2025",,No,Communication Arts,,,https://www.commarts.com/competition/2025-photography,Premio,
"Onassis AiR Open Call 2025/26: Artistic Research, ...","Convocatoria ""Onassis AiR 2025/26"" en",Revisar,https://www.onassis.org/open-calls/onassis-air-open-call-2025-26,,"March 8, 2025",,No,Onassis AiR,,,,Convocatoria,
Casa Árabe y PHotoESPAÑA: Convocatoria de proyecto...,"Convocatoria ""Comisariado Nur 2025"" en el mundo",,https://casaarabe.es/eventos-arabes/show/abrimos-el-plazo-de-propuestas-para-la-convocatoria-de-comisariado-nur-2025,,"March 8, 2025",,No,Casa Árabe,,,https://www.casaarabe.es/eventos-arabes/show/abrimos-el-plazo-de-propuestas-para-la-convocatoria-de-comisariado-nur-2025,Convocatoria,
Bound and Unbound 8: Altered Book Exhibition Inter...,"Convocatoria ""Bound and Unbound 8: Altered Book Exhibition"" en EEUU",,https://libguides.usd.edu/c.php?g=1424248&p=10562825,EEUU,"March 8, 2025","Arte contemporáneo, Convocatorias, premio internacional",Yes,Disciplina,,,https://libguides.usd.edu/BU8,Convocatoria,"Diseño, Visuales"
Onassis AiR Residencies and Fellowships 2025/26 (Greece),"Residencia ""Onassis AiR 2025/26"" en Grecia",Revisar,https://on-the-move.org/news/onassis-air-residencies-and-fellowships-202526-greece,,"March 7, 2025",,No,Onassis,,,,Residencia,
"Residencia Artística en Muralismo - ""Residencia los Andes Peñas""","Residencia ""Muralismo los Andes Peñas"" en Latinoamérica",Revisar,https://app.datarte.art/convocatorias/residencia-muralismo-bolivia-2025,,"March 7, 2025",,No,Datarte,,,"No relevant original source was found. The original URL provided is:
https://app.datarte.art/convocatorias/residencia-muralismo-bolivia-2025",Residencia,
Street Photography Contest 2025 by The Artist Gall...,"Convocatoria ""Street Photography Contest 2025"" en el mundo",Revisar,https://www.theartistgallery.art/open-contests,,"March 7, 2025",,No,Artist Gallery,,,https://www.theartistgallery.art/open-contests,Premio,
The Ravenswood Australian Women’s Art Prize 2025,"Convocatoria ""Ravenswood Australian Women’s Art Prize"" en Australia",,https://www.ravenswoodartprize.com.au/enter-artwork/,,"March 6, 2025","Premio de Arte para Mujeres, Ravenswood Australian Women’s Art Prize, premio internacional",No,Ravenswood Australian Women’s Art Prize,,,https://www.ravenswoodartprize.com.au/enter-artwork/,Premio,
Premio Princesa de Asturias en España,"Beca ""Premio Princesa de Asturias"" en España",Destacar,https://www.argentina.gob.ar/capital-humano/educacion/campusargentinaglobal/becas-extranjero/premio-princesa-de-asturias-en,España,"March 6, 2025","Premio Internacional AI, Premio Literario, premio internacional",Yes,Premio Princesa de Asturias,,,https://es.wikipedia.org/wiki/Premios_Princesa_de_Asturias,Premios,Multidisciplinar
Convocatoria para artistas visuales: ABS 2025 - Ut...,"Convocatoria ""Labs Utopía Distopía III"" en Chile",Revisar,https://www.balmacedartejoven.cl/noticias/sede-metropolitana-de-balmaceda-arte-joven-abre-convocatoria-a-labs-2025-utopia-distopia-iii/,,"March 5, 2025",,No,Balmaceda Arte Joven,,,,Convocatoria,
Convocatoria 2025: ¡Exponé tu Arte en las Galerías...,"Convocatoria ""Exponé tu Arte en Galerías de UTN BA"" en todo el mundo",Revisar,https://www.frba.utn.edu.ar/convocatoria-2025-expone-tu-arte-en-las-galerias-de-utn-ba/,,"March 4, 2025",,No,UTN BA,,,https://www.frba.utn.edu.ar/convocatoria-2025-expone-tu-arte-en-las-galerias-de-utn-ba/,Convocatoria,
"""Monochrome"" Juried Art Exhibition by UPWARD Galle...","Convocatoria ""Monochrome Juried Art Exhibition"" en todo el mundo",Revisar,https://upwardgallery.com/ad/competitions/98/monochrome,,"March 4, 2025",,No,UPWARD Gallery,,,https://upwardgallery.com/ad/competitions/98/monochrome,Convocatoria,
NXTHVN: 2025–2026 Fellowship Programme for Artists and Curators (USA),"Beca ""NXTHVN Fellowship Programme Artists Curators"" en EEUU",,https://on-the-move.org/news/nxthvn-2025-2026-fellowship-programme-artists-and-curators-usa,EEUU,"March 4, 2025","premio internacional, programa de residencia, residencia para artistas",Yes,On The Move,,,https://nxthvn.com/apply,Oportunidad,"Visuales, Curaduría"
"Convocatoria de Arte Plástica: ""La Mujer"", organiz...","Convocatoria ""La Mujer"" en",Revisar,https://lasalita.org/convocatoria-tema-la-mujer,,"March 3, 2025",,No,La Mujer,,,,Convocatoria,
Open Call: 10th Anniversary Special Edition by Dod...,"Convocatoria ""10th Anniversary Special Edition"" en",Revisar,https://www.dodho.com/call-for-entries/,,"March 3, 2025",,No,Dodho,,,,Convocatoria,
Becas Acciona 2025/2027 - Máster de Formación Perm...,,Revisar,https://surescuela.com/beca-acciona/,,"March 3, 2025",,No,Acciona,,,,Beca,
"Call For Submission: ""Beyond the Veil"" by Gallery ...","Convocatoria ""Beyond the Veil"" en Estados Unidos",Revisar,https://gallery263.org/call/beyond-the-veil/,,"March 3, 2025",,No,Gallery 263,,,https://gallery263.org/call/beyond-the-veil/,Convocatoria,"visuales, escénicas, música"
Convocatoria Sala Juan Egenau (junio-diciembre 202...,,Revisar,https://artes.uchile.cl/convocatorias/224154/convocatoria-sala-juan-egenau-junio-diciembre-2025,,"March 3, 2025",,No,Colonia Express,,,,Convocatoria,
Cove Park abre convocatoria para residencias financiadas 2025 en Escocia,"Residencia ""Cove Park Artistas Sonoros"" en Escocia",,https://www.recursosculturales.com/residencia-en-escocia-artistas-sonoros/,Escocia,"March 3, 2025","oportunidad para artistas, programa de residencia, residencia para artistas",Yes,Cove Park,,,https://www.covepark.org/,Residencias,Multidisciplinar
"Liverpool Biennial/British Council: Curator’s Week for Curators from Sub-Saharan Africa, South Asia and Southeast Asia (UK)","Convocatoria ""Curators Week"" en Reino Unido",Revisar,https://on-the-move.org/news/liverpool-biennialbritish-council-curators-week-curators-sub-saharan-africa-south-asia-and,,"March 2, 2025",,No,Liverpool Biennial,,,,Convocatoria,
"Mekong Cultural Hub: Local Gathering Hosts for 2025 Meeting Point (Remote, Laos)","Convocatoria ""Mekong Cultural Hub"" en Laos",Revisar,https://on-the-move.org/news/mekong-cultural-hub-local-gathering-hosts-2025-meeting-point-remote-laos,,"March 2, 2025",,No,Meeting Point,,,,Oportunidad,
27th Annual Rio Brazos Juried Art Exhibition,"Convocatoria ""Rio Brazos Juried Art Exhibition"" en",Revisar,https://www.tarleton.edu/visualarts/riobrazos/,,"March 2, 2025",,No,Visual Arts,,,,Convocatoria,
Open Call for Virtual Exhibitions by Goddessarts ...,"Convocatoria ""Goddessarts Virtual Exhibitions"" en",Revisar,https://www.goddessartsmag.com/virtual-exhibitions,,"March 2, 2025",,No,Goddessarts,,,,Convocatoria,
Apexart International Open Call for Group Exhibiti...,"Convocatoria ""Apexart International Open Call for Group Exhibitions"" en todo el mundo",Revisar,https://apexart.org/opencallsprocess.php,,"March 2, 2025",,No,Apexart,,,https://www.artrabbit.com/artist-opportunities/2025/march/apexart-international-open-call-for-group-exhibition-proposals,Convocatoria,
Abstract Online Art Competition and Exhibition,"Convocatoria ""Vibrant Colors Art Competition"" en Latinoamérica",,https://tenmoirgallery.com/abstract-art-competition-call-for-art/,,"March 2, 2025",,No,Ten Moir Gallery,,,https://tenmoirgallery.com/vibrant-colors-art-competition/,Convocatoria,
Open Call: Creta Rome Summer Residencies 2025,"Residencia ""Creta Rome Summer"" en Italia",,https://www.cretarome.com/2024-25-creta-rome-residencies-italian-english,Italia,"March 2, 2025","oportunidad para artistas, programa de residencia, residencia de artistas",Yes,Creta Rome,,,https://www.cretarome.com/application-info-schedule,Residencia,"Cerámica, Escultura"
Artist’s Choice 2025 Art Competition by Fusion Art,"Convocatoria ""Artist’s Choice 2025 Art Competition"" en Internacional",,https://www.fusionartps.com/artists-choice-art-competition-2025/,,"March 2, 2025",,No,Fusion Art,,,https://www.fusionartps.com/calls-for-artists/,Convocatoria,
Welcome to the Wild by Streeters Gallery,"Convocatoria ""Bienvenido al Salvaje"" en Nueva York",,https://www.streetersgallery.com/new-york,,"March 2, 2025",,No,Streeters Gallery,,,https://www.streetersgallery.com/new-york,Convocatoria,
The BigPicture Photo Competition,"Convocatoria ""BigPicture Photo Competition"" en el mundo",,https://www.bigpicturecompetition.org/competitiondetails,,"March 2, 2025",,No,BigPicture Photo Competition,,,https://www.bigpicturecompetition.org/,Premio,
Las Laguna Art Gallery: Politcs and Art 2024,"Convocatoria ""Las Laguna Art Gallery: Politics and Art"" en todo el mundo",,https://www.laslagunaartgallery.com/politics,,"March 2, 2025",,No,Politics and Art,,,https://www.laslagunaartgallery.com/,Convocatoria,
"Open Call For Artists New York, Brooklyn by Street...","Convocatoria ""Open Call For Artists Brooklyn"" en Nueva York",,https://www.streetersgallery.com/new-york?mc_cid=ae67662361&mc_eid=e8faa89a10,,"March 2, 2025",Convocatoria Artistas,No,Streeters Gallery,,,https://www.streetersgallery.com/new-york,Convocatoria,
SAC Programa de Residencia Curatorial Internaciona...,"Residencia ""SAC Programa Curatorial Int."" en España",,https://santandreucontemporani.org/es/activitats/open-call-sac-international-curatorial-residency-program-2025,,"March 2, 2025",,No,SAC,,,https://www.santandreucontemporani.org/es/activitats/open-call-sac-international-curatorial-residency-program-2025,Residencia,
Open Call: Festival Pangue Videoarte 2025,"Convocatoria ""Festival Pangue Videoarte"" en",Revisar,https://www.instagram.com/buildingbridges_ax/reel/DFZBKr-yJlu/,,"March 1, 2025",,No,Building Bridges,,,,Convocatoria,
Curatorial Open Call by Fundación Shelley & Donald...,"Convocatoria ""Fundación Shelley & Donald"" en",Revisar,https://www.sdrubin.org/curators,,"March 1, 2025",,No,SD Rubin,,,,Convocatoria,
Convocatoria Abierta Residencia Artística Musgo 20...,"Residencia ""Musgo"" en",Revisar,https://www.instagram.com/p/DD0EivJR1JF/?img_index=1,,"March 1, 2025",,No,Musgo,,,,Residencia,
OPEN CALL No Lugar AIR Program 2025,"Convocatoria ""No Lugar AIR Program"" en",Revisar,https://app.datarte.art/convocatorias/nolugarairopencall2025,,"March 1, 2025",,No,Datarte,,,,Convocatoria,
Open Call: 4th Annual ART 64 Competition,ART 64 Comp,Revisar,https://acortar.link/7Ux7Os,,"March 1, 2025",,No,ART 64,,,,Convocatorias,
Open Call: The Boynes Monthly Art Award,"Convocatoria ""Boynes Monthly Art Award"" en",Revisar,https://boynesartistaward.com/monthly-art-award,,"March 1, 2025",,No,Boynes Artist Award,,,,Premio,
Open Call: Solo Online Exhibition Program 2025 by ...,"Convocatoria ""Obtener Disciplina"" en",Revisar,https://www.barbagelata.org/soloexhibitionopencall,,"March 1, 2025",,No,Barbagelata,,,,Convocatoria,
"Call for Artists and Writers: ""Resolutions"" by Art...","Convocatoria ""Resolutions"" en",Revisar,https://artascent.com/themed-call-application-information/#toggle-id-1,,"March 1, 2025",,No,Art Ascent,,,,Convocatoria,
APEXART CONVOCATORIA INTERNACIONAL ABIERTA 2025 26,"Convocatoria ""APEXART 2025 26"" en España",Revisar,https://es.artealdia.com/Convocatorias/APEXART-CONVOCATORIA-INTERNACIONAL-ABIERTA-2025-26,,"March 1, 2025",,No,Arte al Día,,,,Convocatorias,
2025 Andrei Stenin International Press Photo Conte...,"Convocatoria ""2025 Andrei Stenin International Press Photo Contest"" en el mundo",Revisar,https://stenincontest.com/,,"March 1, 2025",,No,Andrei Stenin International Press Photo Contest,,,https://stenincontest.com/,Premio,
Open Call: 3rd Koi Artist Award,"Convocatoria ""3rd Koi Artist Award"" en todo el mundo",Revisar,https://koisartistaward.com/koi-artist-award/,,"March 1, 2025",,No,Koi Artist Award,,,https://arts.ca.gov/collective/blue-koi-gallery-242-4-3rd-koi-artist-award-500/,Premio,
"International Open Call: ""Future Holds Somthing Fo...","Convocatoria ""Future Holds Something For..."" en todo el mundo",Revisar,https://latinismoartandeducation.us/open-calls/,,"March 1, 2025",,No,Latinismo Art and Education,,,https://latinismoartandeducation.us/open-calls/,Convocatoria,
12° edición. Programa Intensivo de Curaduría Proye...,"Convocatoria ""Programa Intensivo de Curaduría"" en todo el mundo",Revisar,https://www.proyectopac.com/programa-intensivo-de-curaduriacutea.html,,"March 1, 2025",,No,Proyecto PAC,,,https://www.proyectopac.com/programa-intensivo-de-curaduría.html,Convocatoria,
LABS 2025 - Utopía/Distopía III,"Convocatoria ""LABS Utopía/Distopía III"" en Chile",,https://app.datarte.art/convocatorias/labs-utopia-distopia-artistas-emergentes-2025,Chile,"March 1, 2025",convocatoria,Yes,Datarte,,,"No better option is found. The original URL provided is:
https://app.datarte.art/convocatorias/labs-utopia-distopia-artistas-emergentes-2025",Convocatoria,"Visuales, Escultura"
"SlowArt Productions presents ""Arte Natura"" at Limn...","Convocatoria ""Arte Natura"" en todo el mundo",,https://www.slowart.com/prospectus/natura.htm,,"March 1, 2025",,No,SlowArt Productions,,,https://www.slowart.com/prospectus/natura.htm,Convocatoria,
RIDCC: 2025 Choreographic Duet Competition (Netherlands),"Convocatoria ""RIDCC Choreographic Duet Competition"" en Países Bajos",,https://on-the-move.org/news/ridcc-2025-choreographic-duet-competition-netherlands,,"March 1, 2025","oportunidad para artistas, premio internacional, residencia para artistas",Yes,On-the-Move,,,https://www.ridcc.com/event/,Convocatoria,"Coreografía, Danza"
Never Such Innocence Competition 2024/25,"Convocatoria ""Never Such Innocence Competition"" en Reino Unido",,https://www.neversuchinnocence.com/2024-25-competition,Reino Unido,"March 1, 2025","Premio Literario, convocatoria, premio internacional",Yes,Never Such Innocence,,,https://www.neversuchinnocence.com/2024-25-competition,Premio,"Danza, Coreografá"
Convocatoria para participar en la 5ªedición de Wh...,"Convocatoria ""WHITE BALANCE"" en España",,https://estartspace.com/evento/convocatoria-para-participar-en-la-5aedicion-de-white-balance/,España,"March 1, 2025","convocatoria, evento, participación",No,White Balance,,,https://estartspace.com/evento/convocatoria-para-participar-en-la-5aedicion-de-white-balance/,Convocatoria,Fotografía
2025 MUSE Photography Awards,"Convocatoria ""MUSE Photography Awards"" en mundo",,https://musephotographyawards.com/,,"March 1, 2025","Concurso de Pintura, Premio Internacional de Fotografía, Premio de arte digital",No,MUSE Photography Awards,,,https://musephotographyawards.com/,Premio,
XI Concurso de Artes Plásticas Dcoop 2025,"Convocatoria ""XI Concurso Artes Plásticas Dcoop"" en España",,https://dcoop.es/actualidad/abierta-la-convocatoria-para-participar-en-el-xi-concurso-de-artes-plasticas-dcoop-2025,España,"March 1, 2025","Certamen Nacional, Concurso, Premio Internacional de Fotografía",Yes,Dcoop,,,https://www.dcoop.es/actualidad/abierta-la-convocatoria-para-participar-en-el-xi-concurso-de-artes-plasticas-dcoop-2025,Convocatoria,Visuales
Open Call 2025: ¿Te gustaría ser parte del Archivo...,"Convocatoria ""Archivo Activo 2025"" en Argentina",,https://www.argentinaperformanceart.com/opencall-archivoactivo-2025,Argentina,"March 1, 2025","Convocatorias, Investigación, Performance Art",Yes,Archivo Activo,,,"https://www.argentinaperformanceart.com/opencall-archivoactivo-2025

However, to verify the originality of the source, it is crucial to cross-reference this URL with other authoritative sources in the arts community. Unfortunately, the provided URL does not indicate a direct announcement from an official cultural organization or institution, which is typically a characteristic of an original source.

To further investigate, you might want to check if there are any official announcements from recognized cultural organizations or institutions related to performance art in Argentina. If such a source exists, it would be more authoritative and likely to be the original announcement.

For example, you could check the official websites of cultural organizations, galleries, foundations, universities, or museums in Argentina to see if they have announced the same opportunity. If no such source is found, the original URL provided might still be a valid source, but it would be less authoritative.

Here is the most relevant URL based on the information given:

https://www.argentinaperformanceart.com/opencall-archivoactivo-2025

However, it is recommended to cross-reference this with other authoritative sources to confirm its originality.",Convocatoria,"Investigación, Publicaciones, Performance"
VII edición del Certamen de Creación Artística par...,"Convocatoria ""Certamen Creación Artística"" en España",,https://www.uloyola.es/actividades/servicio-de-cultura-formacion-complementaria/crea-loyola/certamen-artistas-emergentes,España,"March 1, 2025","Certamen Nacional, convocatoria, premio internacional",Yes,Crea Loyola,,,https://www.uloyola.es/actividades/servicio-de-cultura-formacion-complementaria/crea-loyola/certamen-artistas-emergentes,Convocatoria,Pintura
SAC International Curatorial Residency Programme 2025 (Spain),"Residencia ""SAC International Curatorial"" en España",,https://on-the-move.org/news/sac-international-curatorial-residency-programme-2025-spain,,"March 1, 2025",,No,SAC,,,https://www.iktsite.org/news/sac2025,Residencia,
SAC Programa de Residencia Curatorial Internacional 2025,"Residencia ""SAC Programa de Residencia Curatorial Internacional"" en España",,https://www.arteinformado.com/agenda/f/sac-programa-de-residencia-curatorial-internacional-2025-234687,España,"March 1, 2025",Curaduría,Yes,SAC,,,https://www.iktsite.org/news/sac2025,Residencias,"Visuales, curaduría, exposiciones."
